,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
ENG-Premier League,2223,Liverpool,Fabinho,BRA,MF,28,1993,36,31,2671,29.7,0,2,2,0,0,0,11,0,0.7,0.7,2.1,2.9,15,161,39,0.0,0.07,0.07,0.0,0.07,0.02,0.07,0.1,0.02,0.1
ENG-Premier League,2223,Liverpool,Fabio Carvalho,POR,"MF,FW",19,2002,13,4,347,3.9,2,0,2,2,0,0,0,0,1.1,1.1,0.1,1.2,9,12,26,0.52,0.0,0.52,0.52,0.52,0.29,0.03,0.31,0.29,0.31
ENG-Premier League,2223,Liverpool,Harvey Elliott,ENG,"MF,FW",19,2003,32,18,1613,17.9,1,2,3,1,0,0,2,0,2.1,2.1,3.5,5.6,54,142,129,0.06,0.11,0.17,0.06,0.17,0.12,0.2,0.31,0.12,0.31
ENG-Premier League,2223,Liverpool,Ibrahima Konaté,FRA,DF,23,1999,18,17,1552,17.2,0,0,0,0,0,0,5,0,1.1,1.1,0.1,1.3,7,56,5,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.08,0.07,0.08
ENG-Premier League,2223,Liverpool,James Milner,ENG,"MF,DF",36,1986,31,7,913,10.1,0,1,1,0,0,0,2,0,0.4,0.4,0.9,1.3,21,70,78,0.0,0.1,0.1,0.0,0.1,0.04,0.09,0.13,0.04,0.13
ENG-Premier League,2223,Liverpool,Joe Gomez,ENG,DF,25,1997,21,15,1466,16.3,0,0,0,0,0,0,3,0,0.2,0.2,0.2,0.3,15,108,5,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02
ENG-Premier League,2223,Liverpool,Jordan Henderson,ENG,MF,32,1990,35,23,2074,23.0,0,2,2,0,0,0,2,0,1.4,1.4,3.2,4.5,37,189,90,0.0,0.09,0.09,0.0,0.09,0.06,0.14,0.2,0.06,0.2
ENG-Premier League,2223,Liverpool,Joël Matip,CMR,DF,30,1991,14,12,1092,12.1,1,0,1,1,0,0,3,0,0.7,0.7,0.3,1.0,28,59,2,0.08,0.0,0.08,0.08,0.08,0.06,0.02,0.08,0.06,0.08
ENG-Premier League,2223,Liverpool,Kostas Tsimikas,GRE,DF,26,1996,20,9,771,8.6,0,4,4,0,0,0,3,0,0.3,0.3,1.5,1.9,23,26,77,0.0,0.47,0.47,0.0,0.47,0.04,0.18,0.22,0.04,0.22
ENG-Premier League,2223,Liverpool,Luis Díaz,COL,FW,25,1997,17,11,996,11.1,4,2,6,4,0,0,2,0,2.5,2.5,1.5,4.0,39,49,116,0.36,0.18,0.54,0.36,0.54,0.22,0.14,0.36,0.22,0.36
ENG-Premier League,2223,Liverpool,Mohamed Salah,EGY,FW,30,1992,38,37,3290,36.6,19,12,31,17,2,4,2,0,21.6,18.5,7.2,25.7,120,149,421,0.52,0.33,0.85,0.47,0.79,0.59,0.2,0.79,0.51,0.7
ENG-Premier League,2223,Liverpool,Naby Keïta,GUI,MF,27,1995,8,3,293,3.3,0,0,0,0,0,0,1,0,0.6,0.6,0.7,1.3,5,15,21,0.0,0.0,0.0,0.0,0.0,0.2,0.21,0.41,0.2,0.41
ENG-Premier League,2223,Liverpool,Nathaniel Phillips,ENG,DF,25,1997,2,1,66,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,9,0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06
ENG-Premier League,2223,Liverpool,Roberto Firmino,BRA,"FW,MF",30,1991,25,13,1213,13.5,11,4,15,11,0,0,0,0,5.5,5.5,2.5,8.0,16,78,96,0.82,0.3,1.11,0.82,1.11,0.41,0.19,0.59,0.41,0.59
ENG-Premier League,2223,Liverpool,Stefan Bajcetic,ESP,MF,17,2004,11,6,526,5.8,1,0,1,1,0,0,2,0,0.8,0.8,0.4,1.2,10,24,1,0.17,0.0,0.17,0.17,0.17,0.13,0.06,0.2,0.13,0.2
ENG-Premier League,2223,Liverpool,Thiago Alcántara,ESP,MF,31,1991,18,14,1254,13.9,0,0,0,0,0,0,2,0,0.4,0.4,1.1,1.5,13,120,24,0.0,0.0,0.0,0.0,0.0,0.03,0.08,0.11,0.03,0.11
ENG-Premier League,2223,Liverpool,Trent Alexander-Arnold,ENG,DF,23,1998,37,34,2923,32.5,2,9,11,2,0,0,5,0,2.4,2.4,11.5,13.8,43,235,139,0.06,0.28,0.34,0.06,0.34,0.07,0.35,0.43,0.07,0.43
ENG-Premier League,2223,Liverpool,Virgil van Dijk,NED,DF,31,1991,32,32,2835,31.5,3,1,4,3,0,0,3,0,2.6,2.6,1.2,3.8,10,127,8,0.1,0.03,0.13,0.1,0.13,0.08,0.04,0.12,0.08,0.12
ENG-Premier League,2223,Manchester City,Aymeric Laporte,ESP,DF,28,1994,12,11,993,11.0,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,30,85,11,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06
ENG-Premier League,2223,Manchester City,Bernardo Silva,POR,"MF,FW",27,1994,34,24,2205,24.5,4,5,9,4,0,0,5,0,2.2,2.2,3.3,5.4,90,130,188,0.16,0.2,0.37,0.16,0.37,0.09,0.13,0.22,0.09,0.22
ENG-Premier League,2223,Manchester City,Cole Palmer,ENG,"MF,FW",20,2002,14,2,370,4.1,0,1,1,0,0,0,1,0,1.2,1.2,0.6,1.8,29,13,40,0.0,0.24,0.24,0.0,0.24,0.3,0.14,0.44,0.3,0.44
ENG-Premier League,2223,Manchester City,Ederson,BRA,GK,28,1993,35,35,3150,35.0,0,1,1,0,0,0,3,0,0.0,0.0,0.2,0.2,0,0,0,0.0,0.03,0.03,0.0,0.03,0.0,0.01,0.01,0.0,0.01
ENG-Premier League,2223,Manchester City,Erling Haaland,NOR,FW,22,2000,35,33,2769,30.8,36,8,44,29,7,7,5,0,28.4,23.0,5.3,28.3,35,58,151,1.17,0.26,1.43,0.94,1.2,0.92,0.17,1.09,0.75,0.92
ENG-Premier League,2223,Manchester City,Jack Grealish,ENG,FW,26,1995,28,23,2055,22.8,5,7,12,5,0,0,4,0,4.6,4.6,7.1,11.7,143,100,310,0.22,0.31,0.53,0.22,0.53,0.2,0.31,0.51,0.2,0.51
ENG-Premier League,2223,Manchester City,John Stones,ENG,"DF,MF",28,1994,23,21,1846,20.5,2,2,4,2,0,0,2,0,1.0,1.0,1.4,2.4,28,101,34,0.1,0.1,0.2,0.1,0.2,0.05,0.07,0.12,0.05,0.12
ENG-Premier League,2223,Manchester City,João Cancelo,POR,DF,28,1994,17,16,1274,14.2,2,1,3,2,0,0,3,1,0.8,0.8,0.9,1.7,73,106,125,0.14,0.07,0.21,0.14,0.21,0.06,0.06,0.12,0.06,0.12
ENG-Premier League,2223,Manchester City,Julián Álvarez,ARG,"FW,MF",22,2000,31,13,1465,16.3,9,0,9,8,1,1,0,0,7.0,6.2,1.8,8.0,38,37,99,0.55,0.0,0.55,0.49,0.49,0.43,0.11,0.54,0.38,0.49
ENG-Premier League,2223,Manchester City,Kalvin Phillips,ENG,MF,26,1995,12,2,300,3.3,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.5,1,18,2,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.14,0.1,0.14
ENG-Premier League,2223,Manchester City,Kevin De Bruyne,BEL,MF,31,1991,32,28,2417,26.9,7,16,23,7,0,0,1,0,5.6,5.6,13.7,19.3,100,246,245,0.26,0.6,0.86,0.26,0.86,0.21,0.51,0.72,0.21,0.72
ENG-Premier League,2223,Manchester City,Kyle Walker,ENG,DF,32,1990,27,22,1958,21.8,0,0,0,0,0,0,3,0,0.4,0.4,0.2,0.7,50,162,75,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03
ENG-Premier League,2223,Manchester City,Manuel Akanji,SUI,DF,27,1995,29,24,2287,25.4,0,1,1,0,0,0,2,0,1.3,1.3,0.4,1.7,24,116,17,0.0,0.04,0.04,0.0,0.04,0.05,0.02,0.07,0.05,0.07
ENG-Premier League,2223,Manchester City,Máximo Perrone,ARG,MF,19,2003,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2223,Manchester City,Nathan Aké,NED,DF,27,1995,26,22,1873,20.8,1,0,1,1,0,0,2,0,1.6,1.6,0.7,2.3,25,140,30,0.05,0.0,0.05,0.05,0.05,0.07,0.04,0.11,0.07,0.11
ENG-Premier League,2223,Manchester City,Phil Foden,ENG,FW,22,2000,32,22,1842,20.5,11,6,17,11,0,0,1,0,5.9,5.9,4.7,10.6,68,88,275,0.54,0.29,0.83,0.54,0.83,0.29,0.23,0.52,0.29,0.52
ENG-Premier League,2223,Manchester City,Rico Lewis,ENG,"DF,MF",17,2004,14,10,903,10.0,0,0,0,0,0,0,1,0,0.2,0.2,1.5,1.7,22,48,26,0.0,0.0,0.0,0.0,0.0,0.02,0.15,0.17,0.02,0.17
ENG-Premier League,2223,Manchester City,Riyad Mahrez,ALG,"FW,MF",31,1991,30,22,1920,21.3,5,10,15,4,1,1,2,0,5.6,4.8,7.0,11.8,78,76,242,0.23,0.47,0.7,0.19,0.66,0.26,0.33,0.59,0.22,0.55
ENG-Premier League,2223,Manchester City,Rodri,ESP,MF,26,1996,36,34,2911,32.3,2,6,8,2,0,0,5,0,4.6,4.6,4.1,8.7,76,260,37,0.06,0.19,0.25,0.06,0.25,0.14,0.13,0.27,0.14,0.27
ENG-Premier League,2223,Manchester City,Rúben Dias,POR,DF,25,1997,26,22,1998,22.2,0,0,0,0,0,0,3,0,1.3,1.3,0.6,1.9,14,98,2,0.0,0.0,0.0,0.0,0.0,0.06,0.03,0.09,0.06,0.09
ENG-Premier League,2223,Manchester City,Sergio Gómez,ESP,"DF,MF",21,2000,12,2,349,3.9,0,1,1,0,0,0,0,0,0.4,0.4,1.2,1.5,10,18,20,0.0,0.26,0.26,0.0,0.26,0.09,0.3,0.39,0.09,0.39
ENG-Premier League,2223,Manchester City,Shea Charles,NIR,DF,18,2003,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2223,Manchester City,Stefan Ortega,GER,GK,29,1992,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2223,Manchester City,İlkay Gündoğan,GER,MF,31,1990,31,27,2353,26.1,8,4,12,8,0,1,0,0,7.5,6.7,3.3,10.0,53,170,124,0.31,0.15,0.46,0.31,0.46,0.29,0.12,0.41,0.26,0.38
ENG-Premier League,2223,Manchester Utd,Aaron Wan-Bissaka,COD,DF,24,1997,19,16,1435,15.9,0,0,0,0,0,0,2,0,1.2,1.2,1.0,2.2,41,55,64,0.0,0.0,0.0,0.0,0.0,0.07,0.06,0.14,0.07,0.14
ENG-Premier League,2223,Manchester Utd,Alejandro Garnacho,ARG,"FW,MF",18,2004,19,5,569,6.3,3,2,5,3,0,0,3,0,3.0,3.0,1.0,4.1,33,12,85,0.47,0.32,0.79,0.47,0.79,0.48,0.16,0.64,0.48,0.64
ENG-Premier League,2223,Manchester Utd,Anthony Elanga,SWE,FW,20,2002,16,5,426,4.7,0,1,1,0,0,0,0,0,0.7,0.7,0.9,1.6,12,8,28,0.0,0.21,0.21,0.0,0.21,0.15,0.19,0.34,0.15,0.34
ENG-Premier League,2223,Manchester Utd,Anthony Martial,FRA,FW,26,1995,21,11,978,10.9,6,2,8,5,1,1,0,0,6.2,5.5,1.4,6.9,18,35,87,0.55,0.18,0.74,0.46,0.64,0.58,0.13,0.7,0.5,0.63
ENG-Premier League,2223,Manchester Utd,Antony,BRA,FW,22,2000,25,23,1802,20.0,4,2,6,4,0,0,5,0,6.6,6.6,2.9,9.4,95,74,168,0.2,0.1,0.3,0.2,0.3,0.33,0.14,0.47,0.33,0.47
ENG-Premier League,2223,Manchester Utd,Bruno Fernandes,POR,"MF,FW",27,1994,37,37,3316,36.8,8,8,16,6,2,2,6,0,9.3,7.7,16.7,24.4,89,263,231,0.22,0.22,0.43,0.16,0.38,0.25,0.45,0.71,0.21,0.66
ENG-Premier League,2223,Manchester Utd,Casemiro,BRA,MF,30,1992,28,24,2124,23.6,4,3,7,4,0,0,7,2,3.4,3.4,3.1,6.5,14,152,34,0.17,0.13,0.3,0.17,0.3,0.14,0.13,0.28,0.14,0.28
ENG-Premier League,2223,Manchester Utd,Christian Eriksen,DEN,MF,30,1992,28,25,2048,22.8,1,8,9,1,0,0,3,0,5.0,5.0,4.2,9.2,23,164,66,0.04,0.35,0.4,0.04,0.4,0.22,0.19,0.4,0.22,0.4
ENG-Premier League,2223,Manchester Utd,Cristiano Ronaldo,POR,FW,37,1985,10,4,525,5.8,1,0,1,1,0,0,2,0,1.9,1.9,0.4,2.3,9,12,33,0.17,0.0,0.17,0.17,0.17,0.32,0.07,0.4,0.32,0.4
ENG-Premier League,2223,Manchester Utd,David de Gea,ESP,GK,31,1990,38,38,3420,38.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2223,Manchester Utd,Diogo Dalot,POR,DF,23,1999,26,24,2154,23.9,1,2,3,1,0,0,6,0,2.5,2.5,1.9,4.4,46,92,85,0.04,0.08,0.13,0.04,0.13,0.1,0.08,0.18,0.1,0.18
ENG-Premier League,2223,Manchester Utd,Donny van de Beek,NED,MF,25,1997,7,2,167,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,6,20,0.0,0.0,0.0,0.0,0.0,0.05,0.06,0.11,0.05,0.11
ENG-Premier League,2223,Manchester Utd,Facundo Pellistri,URU,"FW,MF",20,2001,4,0,64,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2223,Manchester Utd,Fred,BRA,MF,29,1993,35,12,1249,13.9,2,2,4,2,0,0,6,0,2.0,2.0,2.9,4.9,10,76,50,0.14,0.14,0.29,0.14,0.29,0.14,0.21,0.35,0.14,0.35
ENG-Premier League,2223,Manchester Utd,Harry Maguire,ENG,DF,29,1993,16,8,767,8.5,0,0,0,0,0,0,4,0,0.3,0.3,0.0,0.4,8,26,4,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04
ENG-Premier League,2223,Manchester Utd,Jadon Sancho,ENG,"FW,MF",22,2000,26,21,1686,18.7,6,3,9,6,0,0,0,0,4.2,4.2,5.0,9.2,88,76,173,0.32,0.16,0.48,0.32,0.48,0.22,0.27,0.49,0.22,0.49
ENG-Premier League,2223,Manchester Utd,Kobbie Mainoo,ENG,MF,17,2005,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2223,Manchester Utd,Lisandro Martínez,ARG,DF,24,1998,27,24,2114,23.5,1,0,1,1,0,0,6,0,0.5,0.5,0.3,0.8,12,83,2,0.04,0.0,0.04,0.04,0.04,0.02,0.01,0.03,0.02,0.03
ENG-Premier League,2223,Manchester Utd,Luke Shaw,ENG,DF,27,1995,31,30,2552,28.4,1,2,3,1,0,0,8,0,1.1,1.1,3.6,4.7,53,140,76,0.04,0.07,0.11,0.04,0.11,0.04,0.13,0.16,0.04,0.16
ENG-Premier League,2223,Manchester Utd,Marcel Sabitzer,AUT,MF,28,1994,11,7,627,7.0,0,1,1,0,0,0,1,0,0.7,0.7,0.9,1.7,8,38,26,0.0,0.14,0.14,0.0,0.14,0.11,0.13,0.24,0.11,0.24
ENG-Premier League,2223,Manchester Utd,Marcus Rashford,ENG,FW,24,1997,35,32,2879,32.0,17,5,22,17,0,0,2,0,15.4,15.4,3.4,18.8,85,88,245,0.53,0.16,0.69,0.53,0.69,0.48,0.11,0.59,0.48,0.59
ENG-Premier League,2223,Manchester Utd,Raphaël Varane,FRA,DF,29,1993,24,22,1911,21.2,0,0,0,0,0,0,1,0,0.7,0.7,0.2,0.9,17,63,4,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04
ENG-Premier League,2223,Manchester Utd,Scott McTominay,SCO,MF,25,1996,24,10,1160,12.9,1,0,1,1,0,0,8,0,1.9,1.9,0.6,2.5,20,33,19,0.08,0.0,0.08,0.08,0.08,0.15,0.04,0.19,0.15,0.19
ENG-Premier League,2223,Manchester Utd,Tyrell Malacia,NED,DF,22,1999,22,14,1396,15.5,0,0,0,0,0,0,6,0,0.2,0.2,0.7,0.9,19,44,33,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06
ENG-Premier League,2223,Manchester Utd,Victor Lindelöf,SWE,DF,28,1994,20,14,1365,15.2,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,3,36,1,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03
ENG-Premier League,2223,Manchester Utd,Wout Weghorst,NED,"FW,MF",29,1992,17,10,797,8.9,0,1,1,0,0,0,1,0,2.0,2.0,1.2,3.2,3,17,41,0.0,0.11,0.11,0.0,0.11,0.23,0.13,0.36,0.23,0.36
ENG-Premier League,2223,Newcastle Utd,Alexander Isak,SWE,FW,22,1999,22,17,1522,16.9,10,1,11,8,2,2,3,0,8.2,6.7,2.2,8.9,41,48,122,0.59,0.06,0.65,0.47,0.53,0.49,0.13,0.61,0.4,0.52
ENG-Premier League,2223,Newcastle Utd,Allan Saint-Maximin,FRA,FW,25,1997,25,12,1120,12.4,1,5,6,1,0,0,1,0,1.6,1.6,4.6,6.2,93,69,111,0.08,0.4,0.48,0.08,0.48,0.13,0.37,0.5,0.13,0.5
ENG-Premier League,2223,Newcastle Utd,Anthony Gordon,ENG,"FW,MF",21,2001,16,4,487,5.4,1,0,1,1,0,0,1,0,1.7,1.7,0.9,2.6,20,15,45,0.18,0.0,0.18,0.18,0.18,0.31,0.17,0.48,0.31,0.48
ENG-Premier League,2223,Newcastle Utd,Bruno Guimarães,BRA,MF,24,1997,32,32,2726,30.3,4,5,9,4,0,0,7,0,2.8,2.8,4.0,6.8,41,222,42,0.13,0.17,0.3,0.13,0.3,0.09,0.13,0.22,0.09,0.22
ENG-Premier League,2223,Newcastle Utd,Callum Wilson,ENG,FW,30,1992,31,21,1877,20.9,18,5,23,15,3,3,4,0,17.4,15.1,2.7,17.8,27,19,118,0.86,0.24,1.1,0.72,0.96,0.84,0.13,0.97,0.72,0.85
ENG-Premier League,2223,Newcastle Utd,Chris Wood,NZL,FW,30,1991,18,4,446,5.0,2,0,2,1,1,1,0,0,1.8,1.0,0.3,1.3,1,4,23,0.4,0.0,0.4,0.2,0.2,0.37,0.06,0.43,0.21,0.27
ENG-Premier League,2223,Newcastle Utd,Dan Burn,ENG,DF,30,1992,38,35,3111,34.6,1,0,1,1,0,0,5,0,2.1,2.1,1.3,3.4,29,118,46,0.03,0.0,0.03,0.03,0.03,0.06,0.04,0.1,0.06,0.1
ENG-Premier League,2223,Newcastle Utd,Elliot Anderson,ENG,"MF,FW",19,2002,22,3,410,4.6,0,1,1,0,0,0,0,0,1.0,1.0,1.3,2.3,23,24,35,0.0,0.22,0.22,0.0,0.22,0.22,0.28,0.5,0.22,0.5
ENG-Premier League,2223,Newcastle Utd,Emil Krafth,SWE,DF,27,1994,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2223,Newcastle Utd,Fabian Schär,SUI,DF,30,1991,36,36,3206,35.6,1,3,4,1,0,0,7,0,4.9,4.9,3.3,8.2,27,139,32,0.03,0.08,0.11,0.03,0.11,0.14,0.09,0.23,0.14,0.23
ENG-Premier League,2223,Newcastle Utd,Jacob Murphy,ENG,FW,27,1995,36,14,1251,13.9,4,2,6,4,0,0,0,0,3.3,3.3,2.8,6.1,67,57,141,0.29,0.14,0.43,0.29,0.43,0.24,0.2,0.44,0.24,0.44
ENG-Premier League,2223,Newcastle Utd,Jamaal Lascelles,ENG,DF,28,1993,7,2,218,2.4,0,0,0,0,0,0,4,0,0.1,0.1,0.0,0.1,0,3,0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04
ENG-Premier League,2223,Newcastle Utd,Jamal Lewis,NIR,"DF,FW",24,1998,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2223,Newcastle Utd,Javier Manquillo,ESP,DF,28,1994,4,0,37,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2223,Newcastle Utd,Joe Willock,ENG,MF,22,1999,35,31,2558,28.4,3,6,9,3,0,0,1,0,7.0,7.0,6.0,13.0,97,121,152,0.11,0.21,0.32,0.11,0.32,0.25,0.21,0.46,0.25,0.46
ENG-Premier League,2223,Newcastle Utd,Joelinton,BRA,"MF,FW",25,1996,32,30,2661,29.6,6,1,7,6,0,0,12,0,7.1,7.1,2.4,9.4,64,130,150,0.2,0.03,0.24,0.2,0.24,0.24,0.08,0.32,0.24,0.32
ENG-Premier League,2223,Newcastle Utd,Jonjo Shelvey,ENG,MF,30,1992,3,0,37,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2223,Newcastle Utd,Kieran Trippier,ENG,DF,31,1990,38,38,3341,37.1,1,7,8,1,0,0,5,0,0.9,0.9,12.4,13.3,45,260,151,0.03,0.19,0.22,0.03,0.22,0.02,0.33,0.36,0.02,0.36
ENG-Premier League,2223,Newcastle Utd,Lewis Miley,ENG,MF,16,2006,1,0,15,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.42,0.42,0.42
ENG-Premier League,2223,Newcastle Utd,Martin Dúbravka,SVK,GK,33,1989,2,1,157,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2223,Newcastle Utd,Matt Ritchie,SCO,"FW,MF",32,1989,7,0,39,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.24,0.0,0.24
ENG-Premier League,2223,Newcastle Utd,Matt Targett,ENG,DF,26,1995,17,6,610,6.8,0,0,0,0,0,0,1,0,0.0,0.0,0.4,0.4,3,43,13,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.07,0.0,0.07
ENG-Premier League,2223,Newcastle Utd,Miguel Almirón,PAR,FW,28,1994,34,29,2491,27.7,11,2,13,11,0,0,2,0,8.0,8.0,3.2,11.1,77,124,264,0.4,0.07,0.47,0.4,0.47,0.29,0.11,0.4,0.29,0.4
ENG-Premier League,2223,Newcastle Utd,Nick Pope,ENG,GK,30,1992,37,37,3261,36.2,0,0,0,0,0,0,3,1,0.0,0.0,0.1,0.1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2223,Newcastle Utd,Ryan Fraser,SCO,FW,28,1994,8,3,313,3.5,0,0,0,0,0,0,1,0,0.3,0.3,0.4,0.7,8,9,23,0.0,0.0,0.0,0.0,0.0,0.09,0.11,0.2,0.09,0.2
ENG-Premier League,2223,Newcastle Utd,Sean Longstaff,ENG,MF,24,1997,33,28,2518,28.0,1,4,5,1,0,0,2,0,3.6,3.6,3.3,6.9,21,116,115,0.04,0.14,0.18,0.04,0.18,0.13,0.12,0.25,0.13,0.25
ENG-Premier League,2223,Newcastle Utd,Sven Botman,NED,DF,22,2000,36,35,3127,34.7,0,0,0,0,0,0,2,0,2.5,2.5,1.0,3.5,8,87,5,0.0,0.0,0.0,0.0,0.0,0.07,0.03,0.1,0.07,0.1
ENG-Premier League,2223,Nott'ham Forest,Alex Mighten,ENG,FW,20,2002,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2223,Nott'ham Forest,André Ayew,GHA,"FW,MF",32,1989,13,1,316,3.5,0,0,0,0,0,1,1,0,1.0,0.3,0.0,0.3,3,11,16,0.0,0.0,0.0,0.0,0.0,0.3,0.01,0.31,0.07,0.08
ENG-Premier League,2223,Nott'ham Forest,Brennan Johnson,WAL,"FW,MF",21,2001,38,33,2934,32.6,8,3,11,7,1,3,6,0,8.6,6.2,3.2,9.4,88,30,155,0.25,0.09,0.34,0.21,0.31,0.26,0.1,0.36,0.19,0.29
ENG-Premier League,2223,Nott'ham Forest,Cafú,POR,MF,29,1993,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2223,Nott'ham Forest,Cheikhou Kouyaté,SEN,MF,32,1989,21,10,882,9.8,1,0,1,1,0,0,3,0,0.4,0.4,0.7,1.1,7,19,14,0.1,0.0,0.1,0.1,0.1,0.04,0.07,0.11,0.04,0.11
ENG-Premier League,2223,Nott'ham Forest,Chris Wood,NZL,FW,30,1991,7,5,372,4.1,1,0,1,1,0,0,0,0,1.0,1.0,0.2,1.2,2,7,12,0.24,0.0,0.24,0.24,0.24,0.23,0.05,0.28,0.23,0.28
ENG-Premier League,2223,Nott'ham Forest,Danilo,BRA,MF,21,2001,13,12,976,10.8,3,2,5,3,0,0,1,0,1.5,1.5,0.7,2.3,13,34,22,0.28,0.18,0.46,0.28,0.46,0.14,0.07,0.21,0.14,0.21
ENG-Premier League,2223,Nott'ham Forest,Dean Henderson,ENG,GK,25,1997,18,18,1620,18.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2223,Nott'ham Forest,Emmanuel Dennis,NGA,"FW,MF",24,1997,19,6,720,8.0,2,2,4,2,0,0,3,0,1.9,1.9,0.6,2.4,24,17,63,0.25,0.25,0.5,0.25,0.5,0.23,0.07,0.3,0.23,0.3
ENG-Premier League,2223,Nott'ham Forest,Felipe,BRA,DF,33,1989,16,15,1418,15.8,0,1,1,0,0,0,4,0,1.2,1.2,0.9,2.1,3,22,4,0.0,0.06,0.06,0.0,0.06,0.07,0.06,0.13,0.07,0.13
ENG-Premier League,2223,Nott'ham Forest,Giulian Biancone,FRA,DF,22,2000,2,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
